StateName,DelayFlights,TotalFlights
AZ,396177,1286867465
SC,5264,5184313
LA,29856,100813823
MN,572060,818370434
NJ,403552,636149284
OR,34650,133703201
VA,871409,498737282
RI,18416,21196816
KY,92830,259747701
NH,27896,6431296
MI,315014,944248968
NV,376635,665330906
WI,8002,10813602
CA,9068083,2851401581
CT,70587,41177889
NE,10773,11822137
NC,1260236,647083687
VT,508,258064
MD,358380,265364100
MO,1231282,1376256821
IL,70053,3704111739
ME,1172,1375433
WA,270238,430863515
AL,5384,20143967
IN,40747,45152774
OH,147530,194502943
TN,88826,225593875
NM,7457,55606849
PA,1717943,949483982
NY,629862,507508532
TX,1148219,3510451336
WV,544,74308
GA,2267010,2778133419
MA,641340,457018884
CO,360535,764792765
FL,633835,827560461
AK,1796,20053328
OK,19558,31041353
PR,8474,17952169
UT,80840,261404224
HI,0,0
AR,0,0
ID,0,0
IA,0,0
MT,0,0
MS,0,0
KS,0,0
SD,0,0
ND,0,0
WY,0,0
VI,0,0
NA,0,0
GU,0,0
DE,0,0
DC,0,0
